ID,Commodity,Month/Year,Month,Year,Average Price,Month-on-Month,Year-on-Year,Lowest State,Lowest Price,Highest State,Highest Price
1001,Agric eggs medium size,Jan-22,January,2022,644.33,1.44,26.13,Borno ,417.03,Bayelsa ,809.33
1002,Agric eggs(medium size price of one),Jan-22,January,2022,58.28,0.83,26.12,Taraba ,42.18,Lagos ,74.21
1003,"Beans brown,sold loose",Jan-22,January,2022,498.85,0.81,47.99,Bauchi ,237.63,Ebonyi ,872.45
1004,Beans:white black eye. sold loose,Jan-22,January,2022,481.47,0.14,51.92,Bauchi ,242.04,Ebonyi ,816.41
1005,Beef Bone in,Jan-22,January,2022,1415.77,2.15,29.67,Bauchi ,985.95,Abuja ,1890.83
1006,"Beef,boneless",Jan-22,January,2022,1864.7,0.99,31.21,Gombe ,1263.14,Abuja ,2520
1007,Bread sliced 500g,Jan-22,January,2022,418.65,2.62,27.65,Bauchi ,249.01,Abuja ,625
1008,Bread unsliced 500g,Jan-22,January,2022,383.51,3.08,25.03,Plateau ,245.18,Abuja ,666.67
1009,Broken Rice (Ofada),Jan-22,January,2022,486.7,1.35,4.52,Nassarawa ,329.06,Lagos ,851.52
1010,Catfish (obokun) fresh,Jan-22,January,2022,1381.44,7.56,29.16,Yobe ,738.41,Rivers ,4681.94
1011,Catfish :dried,Jan-22,January,2022,2055.6,4.15,19.08,Kogi ,1321.54,Kebbi ,3538.96
1012,Catfish Smoked,Jan-22,January,2022,1685.98,0.76,9.73,Kogi ,1336.42,Abia ,2282.83
1013,Chicken Feet,Jan-22,January,2022,897.62,1.55,23.01,Taraba ,312.57,Ogun ,1550
1014,Chicken Wings,Jan-22,January,2022,1209.62,1.01,25.03,Adamawa ,500.7,Edo ,2077.78
1015,Dried Fish Sardine,Jan-22,January,2022,1664.33,1.02,12.47,Oyo ,1256.67,Abia ,2537.23
1016,Evaporated tinned milk carnation 170g,Jan-22,January,2022,201.61,1.15,18.86,Anambra ,125.75,Edo ,272
1017,"Evaporated tinned milk(peak), 170g",Jan-22,January,2022,239.21,1.01,21.19,Benue ,175.61,Edo ,300
1018,Frozen chicken,Jan-22,January,2022,2275.78,1.16,18.07,Taraba ,1393.04,Abuja ,3417
1019,"Gari white,sold loose",Jan-22,January,2022,307.53,2.68,26.16,Borno ,228.83,Ebonyi ,443.88
1020,"Gari yellow,sold loose",Jan-22,January,2022,336.33,-0.11,26.65,Kwara ,239.91,Lagos ,488.12
1021,"Groundnut oil: 1 bottle, specify bottle",Jan-22,January,2022,941.1,1.89,39.96,Kogi ,512.95,Ekiti ,1400
1022,Iced Sardine,Jan-22,January,2022,1275.9,2.07,24.97,Bauchi ,870.3,Edo ,2194.64
1023,Irish potato,Jan-22,January,2022,429.8,3.61,32.2,Niger ,164.94,Ebonyi ,887.5
1024,Mackerel : frozen,Jan-22,January,2022,1381.84,4.51,34.01,Bauchi ,919.82,Kano ,3000
1025,Maize grain white sold loose,Jan-22,January,2022,280.66,1.01,33.18,Adamawa ,163.69,Bayelsa ,459.16
1026,Maize grain yellow sold loose,Jan-22,January,2022,280.44,2.21,30.63,Adamawa ,157.95,Abia ,451.6
1027,Mudfish (aro) fresh,Jan-22,January,2022,1256.25,0.99,22.76,Bauchi ,730.68,Abuja ,1909.5
1028,Mudfish : dried,Jan-22,January,2022,2305.65,19.59,31.14,Bauchi ,1307.2,Kebbi ,14433.33
1029,Onion bulb,Jan-22,January,2022,368.1,5.27,3.32,Benue ,133.39,Cross_River ,805.79
1030,"Palm oil: 1 bottle,specify bottle",Jan-22,January,2022,805.45,1.24,42.73,Kwara ,452.49,Enugu ,1104.35
1031,Plantain(ripe),Jan-22,January,2022,288.51,1.01,25.27,Gombe ,138.53,Edo ,455.41
1032,Plantain(unripe),Jan-22,January,2022,262.51,0.52,23.62,Adamawa ,172.9,Anambra ,392.46
1033,Rice agric sold loose,Jan-22,January,2022,480.53,0.86,7.09,Jigawa ,348.57,Akwa_Ibom ,668.98
1034,Rice local sold loose,Jan-22,January,2022,430.21,1.32,7.18,Kebbi ,321.7,Bayelsa ,587.98
1035,Rice Medium Grained,Jan-22,January,2022,477.33,0.06,7.95,Kebbi ,306.67,Bayelsa ,669.63
1036,"Rice,imported high quality sold loose",Jan-22,January,2022,579.16,1.32,5,Kano ,400.91,Rivers ,788.7
1037,Sweet potato,Jan-22,January,2022,217.78,1.56,46.83,Bauchi ,123.7,Akwa_Ibom ,384.61
1038,Tilapia fish (epiya) fresh,Jan-22,January,2022,1124.04,0.64,29.4,Bauchi ,452.39,Abuja ,2011.77
1039,Titus:frozen,Jan-22,January,2022,1450.73,-0.88,35.98,Adamawa ,851.77,Abuja ,2213.81
1040,Tomato,Jan-22,January,2022,367.01,2.8,26.7,Niger ,129.75,Abia ,686.32
1041,"Vegetable oil:1 bottle,specify bottle",Jan-22,January,2022,920.76,2.72,40.62,Niger ,500.86,Abuja ,1266.67
1042,Wheat flour: prepacked (golden penny 2kg),Jan-22,January,2022,974.87,0.77,28.61,Niger ,702.09,Abuja ,1306.5
1043,Yam tuber,Jan-22,January,2022,331.24,0.76,41.15,Taraba ,128.35,Ekiti ,664.61
1001,Agric eggs medium size,Feb-22,February,2022,654.9,1.64,26.36,Borno ,427.04,Bayelsa ,824.29
1002,Agric eggs(medium size price of one),Feb-22,February,2022,59.82,2.65,26.34,Borno ,43.4,Ekiti ,74.33
1003,"Beans brown,sold loose",Feb-22,February,2022,509.65,2.16,44.92,Bauchi ,243.67,Ebonyi ,880.59
1004,Beans:white black eye. sold loose,Feb-22,February,2022,497.54,3.34,50.1,Bauchi ,248.19,Enugu ,825.86
1005,Beef Bone in,Feb-22,February,2022,1440.7,1.76,29.4,Bauchi ,1011,Abuja ,1896.54
1006,"Beef,boneless",Feb-22,February,2022,1919.52,2.94,33.68,Gombe ,1287.01,Abuja ,2550
1007,Bread sliced 500g,Feb-22,February,2022,438.03,4.63,34.11,Gombe ,255.2,Abuja ,630.33
1008,Bread unsliced 500g,Feb-22,February,2022,400.83,4.52,30.11,Borno ,251.82,Abuja ,670
1009,Broken Rice (Ofada),Feb-22,February,2022,496.57,2.03,7.38,Nasarawa ,345.52,Lagos ,855.88
1010,Catfish (obokun) fresh,Feb-22,February,2022,1330.07,-3.72,23.92,Yobe ,752.44,Abia ,2119.89
1011,Catfish :dried,Feb-22,February,2022,2050.31,-0.26,18.61,Kogi ,1366.47,Abuja ,3603.33
1012,Catfish Smoked,Feb-22,February,2022,1710.36,1.45,11.64,Adamawa ,1376.98,Abia ,2305.56
1013,Chicken Feet,Feb-22,February,2022,911.93,1.59,20.85,Taraba ,316.94,Ogun ,1533.33
1014,Chicken Wings,Feb-22,February,2022,1222.77,1.09,24.86,Adamawa ,516.96,Edo ,2181.82
1015,Dried Fish Sardine,Feb-22,February,2022,1703.59,2.36,12.62,Ondo ,1270.79,Abia ,2595.24
1016,Evaporated tinned milk carnation 170g,Feb-22,February,2022,205.13,1.75,19.02,Anambra ,125.83,Edo ,273
1017,"Evaporated tinned milk(peak), 170g",Feb-22,February,2022,245.28,2.54,25.66,Gombe ,183.79,Edo ,303.13
1018,Frozen chicken,Feb-22,February,2022,2351.31,3.32,22.52,Taraba ,1412.55,Abuja ,3486.67
1019,"Gari white,sold loose",Feb-22,February,2022,313.27,1.87,20.68,Borno ,234.32,Ebonyi ,447.57
1020,"Gari yellow,sold loose",Feb-22,February,2022,339.72,1.01,20.13,Borno ,246.07,Lagos ,490.3
1021,"Groundnut oil: 1 bottle, specify bottle",Feb-22,February,2022,971.01,3.18,43.46,Kogi ,530.39,Ekiti ,1410.78
1022,Iced Sardine,Feb-22,February,2022,1298.02,1.73,24.49,Bauchi ,892.4,Edo ,2203.83
1023,Irish potato,Feb-22,February,2022,430.54,0.17,34.86,Niger ,170.56,Ebonyi ,900.47
1024,Mackerel : frozen,Feb-22,February,2022,1372.65,-0.66,33.18,Bauchi ,943.19,Anambra ,2199.87
1025,Maize grain white sold loose,Feb-22,February,2022,287.6,2.47,29.05,Taraba ,169.9,Ebonyi ,450.12
1026,Maize grain yellow sold loose,Feb-22,February,2022,289.7,3.3,26.09,Adamawa ,164.41,Bayelsa ,466.93
1027,Mudfish (aro) fresh,Feb-22,February,2022,1282.31,2.07,23.52,Adamawa ,744.44,Abuja ,1950
1028,Mudfish : dried,Feb-22,February,2022,1983.75,-13.96,13.16,Gombe ,1336.41,Abia ,3226.19
1029,Onion bulb,Feb-22,February,2022,378.26,2.76,27,Benue ,137.39,Cross River ,861.23
1030,"Palm oil: 1 bottle,specify bottle",Feb-22,February,2022,825.51,2.49,41.11,Kwara ,465.16,Enugu ,1112.1
1031,Plantain(ripe),Feb-22,February,2022,292.54,1.4,23.42,Gombe ,141.15,Edo ,460.19
1032,Plantain(unripe),Feb-22,February,2022,268.52,2.29,21.46,Adamawa ,176.47,Anambra ,395.49
1033,Rice agric sold loose,Feb-22,February,2022,492.81,2.55,11.47,Jigawa ,360,Rivers ,668.45
1034,Rice local sold loose,Feb-22,February,2022,436.58,1.48,11.65,Yobe ,348.24,Rivers ,576.14
1035,Rice Medium Grained,Feb-22,February,2022,487.43,2.12,9.74,Adamawa ,323.97,Rivers ,690.91
1036,"Rice,imported high quality sold loose",Feb-22,February,2022,594.8,2.7,10.69,Borno ,418.91,Rivers ,799.63
1037,Sweet potato,Feb-22,February,2022,226.34,4.34,55.79,Bauchi ,126.84,Kebbi ,395.39
1038,Tilapia fish (epiya) fresh,Feb-22,February,2022,1144.68,1.84,28.44,Bauchi ,463.88,Abuja ,2155.38
1039,Titus:frozen,Feb-22,February,2022,1498.81,3.31,41.12,Adamawa ,856.67,Rivers ,2461.3
1040,Tomato,Feb-22,February,2022,393.08,7.1,46.03,Taraba ,133.39,Edo ,711.67
1041,"Vegetable oil:1 bottle,specify bottle",Feb-22,February,2022,950.46,3.23,42.41,Niger ,527.95,Abia ,1300.17
1042,Wheat flour: prepacked (golden penny 2kg),Feb-22,February,2022,1021.66,4.8,34.69,Niger ,726.04,Abia ,1355.71
1043,Yam tuber,Feb-22,February,2022,339.76,2.57,39.92,Taraba ,130.14,Ekiti ,670.07
1001,Agric eggs medium size,Mar-22,March,2022,668.96,2.15,27.55,Borno ,430.6,Bayelsa ,868.57
1002,Agric eggs(medium size price of one),Mar-22,March,2022,61.58,2.93,27.14,Adamawa ,45.67,Ekiti ,75
1003,"Beans brown,sold loose",Mar-22,March,2022,530.1,4.01,43.67,Bauchi ,248.52,Ebonyi ,893.69
1004,Beans:white black eye. sold loose,Mar-22,March,2022,505.94,1.69,46.64,Bauchi ,252.95,Ebonyi ,867.29
1005,Beef Bone in,Mar-22,March,2022,1496.47,3.87,32.65,Taraba ,1033.79,Abuja ,1902.7
1006,"Beef,boneless",Mar-22,March,2022,1955.9,1.75,34.33,Bayelsa ,1258.16,Abuja ,2600
1007,Bread sliced 500g,Mar-22,March,2022,447.8,2.23,34.98,Borno ,260.4,Abia ,650
1008,Bread unsliced 500g,Mar-22,March,2022,411.73,2.72,32.5,Borno ,253.33,Abuja ,677.5
1009,Broken Rice (Ofada),Mar-22,March,2022,505.01,1.7,8.3,Nasarawa ,358.08,Lagos ,802.89
1010,Catfish (obokun) fresh,Mar-22,March,2022,1341.04,0.82,23.62,Yobe ,759.22,Abia ,2121.59
1011,Catfish :dried,Mar-22,March,2022,2090.01,1.94,21.26,Adamawa ,1370.91,Abuja ,3667.95
1012,Catfish Smoked,Mar-22,March,2022,1733.69,1.36,13.15,Benue ,1343.33,Abia ,2479.89
1013,Chicken Feet,Mar-22,March,2022,919.11,0.79,20.02,Taraba ,300.26,Rivers ,1550
1014,Chicken Wings,Mar-22,March,2022,1238,1.25,24.76,Adamawa ,517,Edo ,2220
1015,Dried Fish Sardine,Mar-22,March,2022,1718.37,0.87,13.54,Ondo ,1275,Abia ,2650.46
1016,Evaporated tinned milk carnation 170g,Mar-22,March,2022,208.29,1.54,20.45,Anambra ,126.46,Edo ,275
1017,"Evaporated tinned milk(peak), 170g",Mar-22,March,2022,250.11,1.97,26.63,Gombe ,184.3,Edo ,304.29
1018,Frozen chicken,Mar-22,March,2022,2381.19,1.28,23.58,Taraba ,1423.85,Abuja ,3550
1019,"Gari white,sold loose",Mar-22,March,2022,317.33,1.3,15.8,Kwara ,241.85,Ebonyi ,450.27
1020,"Gari yellow,sold loose",Mar-22,March,2022,338.69,-0.3,15.85,Kwara ,248.35,Lagos ,492
1021,"Groundnut oil: 1 bottle, specify bottle",Mar-22,March,2022,994.62,2.43,46,Kogi ,535.16,Ekiti ,1415
1022,Iced Sardine,Mar-22,March,2022,1323.84,1.99,26.44,Bauchi ,898.65,Edo ,2281.53
1023,Irish potato,Mar-22,March,2022,443.28,2.96,40.26,Yobe ,177.93,Ebonyi ,951.25
1024,Mackerel : frozen,Mar-22,March,2022,1391.5,1.37,34.54,Bauchi ,949.79,Anambra ,2272.03
1025,Maize grain white sold loose,Mar-22,March,2022,297.43,3.42,27.15,Bauchi ,172.01,Abia ,456.5
1026,Maize grain yellow sold loose,Mar-22,March,2022,298.5,3.04,25.63,Borno ,171.18,Bayelsa ,481.08
1027,Mudfish (aro) fresh,Mar-22,March,2022,1292.46,0.79,23.89,Adamawa ,733.86,Abuja ,2000.46
1028,Mudfish : dried,Mar-22,March,2022,2030.02,2.33,15.61,Adamawa ,1331.11,Abia ,3365.99
1029,Onion bulb,Mar-22,March,2022,378.59,0.09,32.73,Borno ,141.76,Cross River ,872.23
1030,"Palm oil: 1 bottle,specify bottle",Mar-22,March,2022,842.23,2.03,45.67,Kwara ,488.42,Enugu ,1117.39
1031,Plantain(ripe),Mar-22,March,2022,302.3,3.34,24.34,Gombe ,163.97,Abuja ,462.01
1032,Plantain(unripe),Mar-22,March,2022,327.54,21.98,43.54,Adamawa ,174.02,Benue ,1980.63
1033,Rice agric sold loose,Mar-22,March,2022,500.15,1.49,12.84,Yobe ,366.85,Edo ,673.33
1034,Rice local sold loose,Mar-22,March,2022,441.8,1.2,12.15,Yobe ,351.38,Rivers ,578.51
1035,Rice Medium Grained,Mar-22,March,2022,488.58,0.24,10.2,Adamawa ,340.59,Rivers ,699.47
1036,"Rice,imported high quality sold loose",Mar-22,March,2022,607.68,2.16,11.66,Borno ,422.26,Rivers ,799.87
1037,Sweet potato,Mar-22,March,2022,228.05,3.15,49.51,Bauchi ,127.73,Bayelsa ,395.6
1038,Tilapia fish (epiya) fresh,Mar-22,March,2022,1161.34,1.46,27.36,Bauchi ,467.12,Abuja ,2200.58
1039,Titus:frozen,Mar-22,March,2022,1526.95,1.88,42.8,Adamawa ,858.37,Rivers ,2479.84
1040,Tomato,Mar-22,March,2022,409.96,4.29,53.29,Taraba ,134.46,Bayelsa ,753.83
1041,"Vegetable oil:1 bottle,specify bottle",Mar-22,March,2022,970.29,2.09,45.18,Gombe ,569.1,Abia ,1327.54
1042,Wheat flour: prepacked (golden penny 2kg),Mar-22,March,2022,1041.82,1.97,35.99,Yobe ,745.19,Abuja ,1375
1043,Yam tuber,Mar-22,March,2022,353.56,4.06,44.42,Taraba ,131.18,Ekiti ,675
1001,Agric eggs medium size,Apr-22,April,2022,678.91,1.49,28,Borno ,435.48,Bayelsa ,873.65
1002,Agric eggs(medium size price of one),Apr-22,April,2022,64,3.93,30.22,Adamawa ,46.6,Ekiti ,77
1003,"Beans brown,sold loose",Apr-22,April,2022,530.62,0.56,40.07,Bauchi ,249.51,Ebonyi ,894.49
1004,Beans:white black eye. sold loose,Apr-22,April,2022,519.05,2.59,44.32,Borno ,256.67,Ebonyi ,875.71
1005,Beef Bone in,Apr-22,April,2022,1508.08,0.78,31.67,Taraba ,1100,Abuja ,1940
1006,"Beef,boneless",Apr-22,April,2022,2026.85,2.22,36.83,Gombe ,1300,Akwa Ibom ,2790.39
1007,Bread sliced 500g,Apr-22,April,2022,450.51,0.61,35.31,Borno ,261.38,Ebonyi ,650
1008,Bread unsliced 500g,Apr-22,April,2022,412.25,0.13,34.65,Yobe ,253.67,Abuja ,680.33
1009,Broken Rice (Ofada),Apr-22,April,2022,513.5,1.68,8.75,Nasarawa ,316.9,Lagos ,804.92
1010,Catfish (obokun) fresh,Apr-22,April,2022,1379.18,2.84,25.65,Yobe ,763.01,Imo ,2466.15
1011,Catfish :dried,Apr-22,April,2022,2117.29,1.31,22,Adamawa ,1375.64,Ebonyi ,3866.67
1012,Catfish Smoked,Apr-22,April,2022,1751.46,1.02,13.76,Benue ,1351.66,Abia ,2500
1013,Chicken Feet,Apr-22,April,2022,932.42,1.45,18.93,Taraba ,320,Bayelsa ,1586.13
1014,Chicken Wings,Apr-22,April,2022,1250.07,0.97,24.57,Adamawa ,519.59,Edo ,2210
1015,Dried Fish Sardine,Apr-22,April,2022,1730.64,0.71,15.38,Ondo ,1277.04,Abia ,2682.54
1016,Evaporated tinned milk carnation 170g,Apr-22,April,2022,216.77,4.07,22.86,Anambra ,126.54,Ebonyi ,300
1017,"Evaporated tinned milk(peak), 170g",Apr-22,April,2022,253.85,1.49,27.44,Gombe ,185.59,Enugu ,342.73
1018,Frozen chicken,Apr-22,April,2022,2380.81,-0.02,23.47,Taraba ,1433.24,Abuja ,3557.5
1019,"Gari white,sold loose",Apr-22,April,2022,318.74,0.44,15.35,Kwara ,243.62,Ebonyi ,453.33
1020,"Gari yellow,sold loose",Apr-22,April,2022,335.19,-1.03,12.04,Cross River ,236.4,Lagos ,494.59
1021,"Groundnut oil: 1 bottle, specify bottle",Apr-22,April,2022,1007.68,1.31,46.21,Kogi ,539.44,Ebonyi ,1466.67
1022,Iced Sardine,Apr-22,April,2022,1337.7,1.05,26.31,Bauchi ,902.24,Edo ,2229.21
1023,Irish potato,Apr-22,April,2022,448.38,1.15,43.54,Yobe ,178.82,Ebonyi ,959.97
1024,Mackerel : frozen,Apr-22,April,2022,1414.15,1.63,34.23,Bauchi ,953.59,Anambra ,2280.88
1025,Maize grain white sold loose,Apr-22,April,2022,305.69,2.78,30.93,Bauchi ,180,Akwa Ibom ,500.32
1026,Maize grain yellow sold loose,Apr-22,April,2022,304.35,1.96,27.6,Borno ,171.83,Abia ,484.07
1027,Mudfish (aro) fresh,Apr-22,April,2022,1305.07,0.98,24.95,Adamawa ,737.53,Abuja ,2150
1028,Mudfish : dried,Apr-22,April,2022,2041.14,0.55,17.08,Adamawa ,1330.44,Abia ,3408.61
1029,Onion bulb,Apr-22,April,2022,380.94,0.62,29.2,Bauchi ,145,Cross River ,829.19
1030,"Palm oil: 1 bottle,specify bottle",Apr-22,April,2022,842.75,0.06,45.59,Kwara ,491.98,Imo ,1106.35
1031,Plantain(ripe),Apr-22,April,2022,306.75,1.47,21.24,Gombe ,165.12,Imo ,475.29
1032,Plantain(unripe),Apr-22,April,2022,337.47,3.03,38.66,Adamawa ,174.62,Benue ,1992.91
