ID,Commodity,Month/Year,Month,Year,Average Price,Month-on-Month,Year-on-Year,Lowest State,Lowest Price,Highest State,Highest Price
1001,Agric eggs medium size,Jan-23,January,2023,850.49,3.08,31.99,Delta ,1072.73,Kogi ,573.09
1002,Agric eggs(medium size price of one),Jan-23,January,2023,87.23,4.46,49.68,Bayelsa ,100,Kano ,74.62
1003,"Beans brown,sold loose",Jan-23,January,2023,593.96,1.33,19.06,Ebonyi ,912.56,Kebbi ,350.99
1004,Beans:white black eye. sold loose,Jan-23,January,2023,572.55,0.74,18.92,Ebonyi ,826.71,Benue ,394.47
1005,Beef Bone in,Jan-23,January,2023,1799.54,0.25,27.11,Sokoto ,2286.25,Osun ,1370.45
1006,"Beef,boneless",Jan-23,January,2023,2418.91,1.75,29.72,Abia ,3097.2,Kogi ,1769.32
1007,Bread sliced 500g,Jan-23,January,2023,547.23,1.74,30.71,Abia ,757.51,Plateau ,340
1008,Bread unsliced 500g,Jan-23,January,2023,506.93,2.13,32.18,Delta ,712.5,Akwa_Ibom ,270
1009,Broken Rice (Ofada),Jan-23,January,2023,567.19,1.16,16.54,Lagos ,855.04,Benue ,427
1010,Catfish (obokun) fresh,Jan-23,January,2023,1535,0.03,11.12,Enugu ,3090.15,Kogi ,836.5
1011,Catfish :dried,Jan-23,January,2023,2307.94,-0.16,12.28,Anambra ,4409.01,Taraba ,1426.24
1012,Catfish Smoked,Jan-23,January,2023,1884,-0.73,11.74,Ogun ,2725.33,Adamawa ,1469.23
1013,Chicken Feet,Jan-23,January,2023,1079.55,0.57,20.27,Enugu ,2100,Taraba ,380.27
1014,Chicken Wings,Jan-23,January,2023,1390.99,0.63,14.99,Edo ,2650,Taraba ,577.36
1015,Dried Fish Sardine,Jan-23,January,2023,1911.81,0.09,14.87,Anambra ,3450.76,Ondo ,1400.04
1016,Evaporated tinned milk carnation 170g,Jan-23,January,2023,290.34,3.2,44.01,Ebonyi ,386.67,Plateau ,222.22
1017,"Evaporated tinned milk(peak), 170g",Jan-23,January,2023,356.02,4.71,48.83,Anambra ,426.15,Kwara ,290
1018,Frozen chicken,Jan-23,January,2023,2754.45,2.22,21.03,Enugu ,4550,Taraba ,1650.22
1019,"Gari white,sold loose",Jan-23,January,2023,337.52,1.37,9.75,Enugu ,473.33,Osun ,260.66
1020,"Gari yellow,sold loose",Jan-23,January,2023,375.87,2.07,11.76,Imo ,496,Osun ,250
1021,"Groundnut oil: 1 bottle, specify bottle",Jan-23,January,2023,1256.61,2.54,33.53,Ebonyi ,2100,Benue ,710
1022,Iced Sardine,Jan-23,January,2023,1601.1,0.67,25.49,Imo ,2801.67,Osun ,1221.24
1023,Irish potato,Jan-23,January,2023,543.15,0.29,26.37,Enugu ,1110,Kogi ,205
1024,Mackerel : frozen,Jan-23,January,2023,1602.21,0.28,15.95,Ebonyi ,2612.23,Benue ,1120
1025,Maize grain white sold loose,Jan-23,January,2023,334.57,3.38,19.21,Akwa_Ibom ,500,Benue ,237.78
1026,Maize grain yellow sold loose,Jan-23,January,2023,342.15,3.98,22,Akwa_Ibom ,513.13,Zamfara ,238.34
1027,Mudfish (aro) fresh,Jan-23,January,2023,1418.36,1.26,12.9,Abuja ,2180.23,Bauchi ,788.98
1028,Mudfish : dried,Jan-23,January,2023,2233.48,-0.25,-3.13,Abia ,3848.84,Kebbi ,1360.95
1029,Onion bulb,Jan-23,January,2023,446.44,2.41,21.28,Cross_River ,1067.53,Adamawa ,189.05
1030,"Palm oil: 1 bottle,specify bottle",Jan-23,January,2023,1044.04,1.94,29.62,Imo ,1315.56,Kwara ,695.67
1031,Plantain(ripe),Jan-23,January,2023,384.77,2.27,33.36,Imo ,696.27,Taraba ,207.71
1032,Plantain(unripe),Jan-23,January,2023,353.86,1.78,34.8,Bayelsa ,549.85,Taraba ,216.36
