ID,Commodity,Month/Year,Month,Year,Average Price,Month-on-Month,Year-on-Year,Lowest State,Lowest Price,Highest State,Highest Price
1033,Rice agric sold loose,Jan-23,January,2023,598.57,2.02,24.56,Delta ,846.68,Kebbi ,449.09
1034,Rice local sold loose,Jan-23,January,2023,514.83,1.71,19.67,Rivers ,714.99,Jigawa ,362.75
1035,Rice Medium Grained,Jan-23,January,2023,578.36,1.56,21.17,Rivers ,821.2,Kogi ,432
1036,"Rice,imported high quality sold loose",Jan-23,January,2023,744.12,2.72,28.48,Rivers ,983.65,Plateau ,600.15
1037,Sweet potato,Jan-23,January,2023,273.67,1.65,25.66,Rivers ,428.57,Benue ,153.47
1038,Tilapia fish (epiya) fresh,Jan-23,January,2023,1253.24,-0.21,11.49,Edo ,2283.33,Adamawa ,443.85
1039,Titus:frozen,Jan-23,January,2023,1733.57,0.49,19.5,Rivers ,2676.27,Kwara ,1070.67
1040,Tomato,Jan-23,January,2023,467.04,1.88,27.26,Delta ,848.08,Kogi ,189.13
1041,"Vegetable oil:1 bottle,specify bottle",Jan-23,January,2023,1183.67,1.89,28.55,Imo ,1649.28,Benue ,708.03
1042,Wheat flour: prepacked (golden penny 2kg),Jan-23,January,2023,1236.31,2.69,26.82,Imo ,1500,Kogi ,980
1043,Yam tuber,Jan-23,January,2023,431.36,1.38,30.22,Akwa_Ibom ,875.44,Benue ,184.44
1001,Agric eggs medium size,Feb-23,February,2023,868.73,2.15,32.65,Enugu ,1130,Kogi ,571.36
1002,Agric eggs(medium size price of one),Feb-23,February,2023,88.03,0.92,47.16,Bayelsa ,100,Kano ,75.94
1003,"Beans brown,sold loose",Feb-23,February,2023,594.15,0.03,16.58,Ebonyi ,902.46,Kebbi ,343.79
1004,Beans:white black eye. sold loose,Feb-23,February,2023,576.93,0.77,15.96,Ebonyi ,816.61,Benue ,390.15
1005,Beef Bone in,Feb-23,February,2023,1823.44,1.33,26.57,Sokoto ,2272,Osun ,1396.72
1006,"Beef,boneless",Feb-23,February,2023,2445.96,1.12,27.25,Anambra ,3103.26,Kogi ,1770
1007,Bread sliced 500g,Feb-23,February,2023,553.03,1.06,26.25,Abia ,767.78,Plateau ,345
1008,Bread unsliced 500g,Feb-23,February,2023,514.99,1.59,28.48,Delta ,718.28,Akwa Ibom ,272.73
1009,Broken Rice (Ofada),Feb-23,February,2023,570.73,0.62,14.93,Lagos ,863.89,Benue ,425
1010,Catfish (obokun) fresh,Feb-23,February,2023,1548.21,0.86,16.4,Enugu ,3067.65,Kogi ,840.5
1011,Catfish :dried,Feb-23,February,2023,2326.07,0.79,13.45,Anambra ,4459.02,Taraba ,1442.98
1012,Catfish Smoked,Feb-23,February,2023,1897.85,0.74,10.96,Ogun ,2730,Benue ,1475
1013,Chicken Feet,Feb-23,February,2023,1088.69,0.85,19.38,Enugu ,2090,Taraba ,378.26
1014,Chicken Wings,Feb-23,February,2023,1392.72,0.12,13.9,Edo ,2658.97,Taraba ,570.12
1015,Dried Fish Sardine,Feb-23,February,2023,1920.99,0.48,12.76,Anambra ,3451.06,Ondo ,1378.29
1016,Evaporated tinned milk carnation 170g,Feb-23,February,2023,295.74,1.86,44.17,Ogun ,400,Plateau ,225
1017,"Evaporated tinned milk(peak), 170g",Feb-23,February,2023,358.41,0.67,46.12,Anambra ,430.15,Kwara ,295.57
1018,Frozen chicken,Feb-23,February,2023,2776.51,0.8,18.1,Enugu ,4501.67,Taraba ,1720.13
1019,"Gari white,sold loose",Feb-23,February,2023,345.88,2.48,10.41,Enugu ,473.64,Zamfara ,280.86
1020,"Gari yellow,sold loose",Feb-23,February,2023,380.88,1.33,12.11,Enugu ,490.58,Osun ,266.03
1021,"Groundnut oil: 1 bottle, specify bottle",Feb-23,February,2023,1270.91,1.14,30.88,Ebonyi ,2114,Benue ,715.33
1022,Iced Sardine,Feb-23,February,2023,1614.4,0.83,24.37,Imo ,2758.69,Bayelsa ,1241.67
1023,Irish potato,Feb-23,February,2023,551.55,1.55,28.11,Lagos ,1066.63,Kogi ,210
1024,Mackerel : frozen,Feb-23,February,2023,1614.89,0.79,17.65,Ebonyi ,2642.23,Benue ,1125.43
1025,Maize grain white sold loose,Feb-23,February,2023,338.14,1.07,17.57,Akwa Ibom ,500.72,Jigawa ,234.13
1026,Maize grain yellow sold loose,Feb-23,February,2023,342.95,0.23,18.38,Akwa Ibom ,533.2,Jigawa ,230.5
1027,Mudfish (aro) fresh,Feb-23,February,2023,1432.14,0.97,11.68,Abuja ,2180,Bauchi ,793.33
1028,Mudfish : dried,Feb-23,February,2023,2245.35,0.53,13.19,Abia ,3898.84,Kebbi ,1390.91
1029,Onion bulb,Feb-23,February,2023,450.07,0.81,18.99,Cross River ,1058.61,Adamawa ,194.44
1030,"Palm oil: 1 bottle,specify bottle",Feb-23,February,2023,1066.14,2.12,29.15,Delta ,1321.86,Kwara ,692.57
1031,Plantain(ripe),Feb-23,February,2023,386.65,0.49,32.17,Imo ,652.72,Taraba ,200.21
1032,Plantain(unripe),Feb-23,February,2023,355.88,0.57,32.53,Bayelsa ,550.51,Taraba ,206.36
1033,Rice agric sold loose,Feb-23,February,2023,602.09,0.59,22.18,Rivers ,837.13,Kebbi ,475.76
1034,Rice local sold loose,Feb-23,February,2023,520.84,1.17,19.3,Rivers ,701.06,Jigawa ,349.89
1035,Rice Medium Grained,Feb-23,February,2023,584.55,1.07,19.93,Rivers ,811.28,Kogi ,430
1036,"Rice,imported high quality sold loose",Feb-23,February,2023,745.96,0.25,25.41,Rivers ,989.75,Plateau ,605.77
1037,Sweet potato,Feb-23,February,2023,279.02,1.96,22.79,Rivers ,432.86,Benue ,150.4
1038,Tilapia fish (epiya) fresh,Feb-23,February,2023,1271.86,1.49,11.11,Edo ,2298.89,Bauchi ,466.67
1039,Titus:frozen,Feb-23,February,2023,1744.35,0.62,16.38,Rivers ,2696.54,Kwara ,1075.67
1040,Tomato,Feb-23,February,2023,468.09,0.22,19.08,Edo ,864.83,Kogi ,190.08
1041,"Vegetable oil:1 bottle,specify bottle",Feb-23,February,2023,1196.68,1.1,25.91,Abia ,1615.24,Benue ,710
1042,Wheat flour: prepacked (golden penny 2kg),Feb-23,February,2023,1247.42,0.9,22.1,Imo ,1492.12,Kogi ,985
1043,Yam tuber,Feb-23,February,2023,436.41,1.17,28.45,Akwa Ibom ,875.02,Taraba ,178.65
1001,Agric eggs medium size,Mar-23,March,2023,891.54,2.63,33.27,Enugu ,1161.16,Kogi ,580.33
1002,Agric eggs(medium size price of one),Mar-23,March,2023,88.22,0.22,43.28,Bayelsa ,100.36,Niger ,75
1003,"Beans brown,sold loose",Mar-23,March,2023,596.96,0.47,13.13,Ebonyi ,906,Kebbi ,352.7
1004,Beans:white black eye. sold loose,Mar-23,March,2023,576.2,-0.12,13.89,Ebonyi ,820.1,Benue ,398.34
1005,Beef Bone in,Mar-23,March,2023,1856.19,1.8,24.04,Ogun ,2310.05,Osun ,1439.35
1006,"Beef,boneless",Mar-23,March,2023,2479.61,1.38,25.05,Anambra ,3107.44,Kogi ,1778
1007,Bread sliced 500g,Mar-23,March,2023,561.21,1.48,25.33,Abia ,770.32,Plateau ,350
1008,Bread unsliced 500g,Mar-23,March,2023,518.14,0.61,25.85,Delta ,728.25,Akwa Ibom ,290.91
1009,Broken Rice (Ofada),Mar-23,March,2023,584.95,2.49,15.83,Ogun ,894.71,Benue ,430.33
1010,Catfish (obokun) fresh,Mar-23,March,2023,1566.34,1.17,16.8,Enugu ,3100,Kogi ,850.33
1011,Catfish :dried,Mar-23,March,2023,2352.15,1.12,12.54,Anambra ,4472.14,Zamfara ,1500
1012,Catfish Smoked,Mar-23,March,2023,1921.31,1.24,10.82,Ogun ,2747.14,Benue ,1480
1013,Chicken Feet,Mar-23,March,2023,1108.61,1.83,20.62,Enugu ,2100,Taraba ,360.15
1014,Chicken Wings,Mar-23,March,2023,1413.2,1.47,14.15,Edo ,2685.71,Taraba ,571.02
1015,Dried Fish Sardine,Mar-23,March,2023,1949.98,1.51,13.48,Anambra ,3463.47,Ondo ,1332.37
1016,Evaporated tinned milk carnation 170g,Mar-23,March,2023,300.11,1.48,44.08,Ogun ,400,Abia ,235.9
1017,"Evaporated tinned milk(peak), 170g",Mar-23,March,2023,369.15,3,47.59,Ekiti ,438.67,Kogi ,300
1018,Frozen chicken,Mar-23,March,2023,2827.6,1.84,18.75,Enugu ,4560,Taraba ,1800.45
1019,"Gari white,sold loose",Mar-23,March,2023,353.16,2.1,11.29,Enugu ,485.37,Kwara ,265.39
1020,"Gari yellow,sold loose",Mar-23,March,2023,391.38,2.76,15.56,Imo ,502.74,Kwara ,291.67
1021,"Groundnut oil: 1 bottle, specify bottle",Mar-23,March,2023,1292.55,1.7,29.95,Ebonyi ,2115.27,Benue ,720.05
1022,Iced Sardine,Mar-23,March,2023,1641.96,1.71,24.03,Imo ,2809.67,Osun ,1190.48
1023,Irish potato,Mar-23,March,2023,557.06,1,25.67,Lagos ,1162.26,Kogi ,200
1024,Mackerel : frozen,Mar-23,March,2023,1651.54,2.27,18.69,Ebonyi ,2645.82,Benue ,1130
1025,Maize grain white sold loose,Mar-23,March,2023,339.79,0.49,14.24,Akwa Ibom ,512.5,Kano ,237.31
1026,Maize grain yellow sold loose,Mar-23,March,2023,343.92,0.28,15.21,Akwa Ibom ,577.16,Kaduna ,221.83
1027,Mudfish (aro) fresh,Mar-23,March,2023,1442.91,0.75,11.64,Edo ,2250,Bauchi ,798.32
1028,Mudfish : dried,Mar-23,March,2023,2256.48,0.5,11.16,Abia ,3900.57,Kebbi ,1500
1029,Onion bulb,Mar-23,March,2023,444.37,-1.27,17.37,Cross River ,981.86,Taraba ,205.5
1030,"Palm oil: 1 bottle,specify bottle",Mar-23,March,2023,1086.7,1.93,29.03,Kaduna ,1345.24,Kwara ,700.24
1031,Plantain(ripe),Mar-23,March,2023,400.43,3.56,32.46,Imo ,695.8,Taraba ,201.25
1032,Plantain(unripe),Mar-23,March,2023,366.44,2.97,31.16,Bayelsa ,588.95,Taraba ,210.22
1033,Rice agric sold loose,Mar-23,March,2023,613.29,1.86,22.62,Rivers ,900.72,Kebbi ,435.72
1034,Rice local sold loose,Mar-23,March,2023,530.08,1.78,19.98,Rivers ,738.28,Jigawa ,368.39
1035,Rice Medium Grained,Mar-23,March,2023,597.5,2.22,22.29,Rivers ,851.09,Kebbi ,433.33
1036,"Rice,imported high quality sold loose",Mar-23,March,2023,765.15,2.57,25.91,Rivers ,1028.21,Plateau ,610.15
1037,Sweet potato,Mar-23,March,2023,278.36,-0.24,22.06,Akwa Ibom ,412.36,Benue ,155.77
1038,Tilapia fish (epiya) fresh,Mar-23,March,2023,1279.93,0.63,10.21,Edo ,2300.67,Bauchi ,463.85
1039,Titus:frozen,Mar-23,March,2023,1781.66,2.14,16.68,Rivers ,2706.32,Kwara ,1080
1040,Tomato,Mar-23,March,2023,466.6,-0.32,13.81,Edo ,901.23,Kogi ,196.41
1041,"Vegetable oil:1 bottle,specify bottle",Mar-23,March,2023,1220.62,2,25.8,Abia ,1618.21,Benue ,720
1042,Wheat flour: prepacked (golden penny 2kg),Mar-23,March,2023,1275.23,2.23,22.4,Imo ,1507,Kogi ,975
1043,Yam tuber,Mar-23,March,2023,443.02,1.51,25.3,Akwa Ibom ,900.8,Taraba ,188.6
1001,Agric eggs medium size,Apr-23,April,2023,915.41,2.68,34.83,Enugu ,1175.33,Kogi ,599.91
1002,Agric eggs(medium size price of one),Apr-23,April,2023,88.17,-0.06,37.78,Imo ,100.43,Niger ,68.85
1003,"Beans brown,sold loose",Apr-23,April,2023,615.67,3.13,16.03,Ebonyi ,961.74,Niger ,428.57
1004,Beans:white black eye. sold loose,Apr-23,April,2023,584.42,1.43,12.59,Ebonyi ,876.81,Benue ,410.29
1005,Beef Bone in,Apr-23,April,2023,1887.27,1.67,25.14,Ogun ,2363.62,Osun ,1493.48
1006,"Beef,boneless",Apr-23,April,2023,2495.69,0.65,23.13,Imo ,3277.11,Kogi ,1789.67
1007,Bread sliced 500g,Apr-23,April,2023,577.41,2.89,28.17,Edo ,830,Plateau ,360
1008,Bread unsliced 500g,Apr-23,April,2023,536,3.45,30.02,Delta ,781.25,Akwa Ibom ,284
1009,Broken Rice (Ofada),Apr-23,April,2023,601.61,2.85,17.16,Lagos ,954.79,Benue ,450
1010,Catfish (obokun) fresh,Apr-23,April,2023,1589.12,1.45,15.22,Enugu ,3156,Kogi ,865
1011,Catfish :dried,Apr-23,April,2023,2379.97,1.18,12.41,Imo ,4532.39,Taraba ,1522.2
1012,Catfish Smoked,Apr-23,April,2023,1937.26,0.83,10.61,Ogun ,2754.29,Kaduna ,1478.15
1013,Chicken Feet,Apr-23,April,2023,1115.29,0.6,19.61,Enugu ,2151,Taraba ,366.02
1014,Chicken Wings,Apr-23,April,2023,1428.71,1.1,14.29,Delta ,2662.5,Taraba ,574.22
1015,Dried Fish Sardine,Apr-23,April,2023,1983.19,1.7,14.59,Anambra ,3482.46,Ondo ,1340.74
1016,Evaporated tinned milk carnation 170g,Apr-23,April,2023,308.66,2.85,42.39,Oyo ,436.67,Plateau ,240
1017,"Evaporated tinned milk(peak), 170g",Apr-23,April,2023,378.82,2.62,49.23,Anambra ,455,Adamawa ,314
1018,Frozen chicken,Apr-23,April,2023,2853.16,0.9,19.84,Enugu ,4760,Taraba ,1849.3
1019,"Gari white,sold loose",Apr-23,April,2023,362.5,2.64,13.73,Enugu ,495.56,Kwara ,254.24
1020,"Gari yellow,sold loose",Apr-23,April,2023,399.78,2.15,19.27,Imo ,527.14,Kwara ,272.22
1021,"Groundnut oil: 1 bottle, specify bottle",Apr-23,April,2023,1317.5,1.93,30.75,Ebonyi ,2200,Kogi ,750.33
1022,Iced Sardine,Apr-23,April,2023,1669.58,1.68,24.81,Imo ,2871.78,Zamfara ,1260
1023,Irish potato,Apr-23,April,2023,567.29,1.84,26.52,Lagos ,1251.23,Kogi ,220.46
1024,Mackerel : frozen,Apr-23,April,2023,1660.03,0.51,17.39,Ebonyi ,2742.81,Benue ,1040.57
1025,Maize grain white sold loose,Apr-23,April,2023,346.67,2.02,13.41,Rivers ,545.62,Kano ,239.31
1026,Maize grain yellow sold loose,Apr-23,April,2023,349.46,1.61,14.82,Bayelsa ,557.48,Kebbi ,224.96
1027,Mudfish (aro) fresh,Apr-23,April,2023,1466.24,1.62,12.35,Edo ,2218.52,Kwara ,835.67
1028,Mudfish : dried,Apr-23,April,2023,2287.83,1.39,12.09,Abia ,4052.82,Kebbi ,1550
1029,Onion bulb,Apr-23,April,2023,441.38,-0.67,15.87,Cross River ,987.39,Katsina ,163.33
1030,"Palm oil: 1 bottle,specify bottle",Apr-23,April,2023,1107.14,1.88,31.37,Zamfara ,1836.06,Kwara ,740.56
1031,Plantain(ripe),Apr-23,April,2023,412.39,2.99,34.44,Imo ,720.75,Taraba ,212.25
1032,Plantain(unripe),Apr-23,April,2023,372.89,1.76,29.11,Rivers ,585.96,Taraba ,211.44
1033,Rice agric sold loose,Apr-23,April,2023,631.5,2.97,25.25,Rivers ,965.45,Kebbi ,420.4
1034,Rice local sold loose,Apr-23,April,2023,546.76,3.15,24.19,Ondo ,720.32,Jigawa ,354.14
1035,Rice Medium Grained,Apr-23,April,2023,609.57,2.02,23.18,Bayelsa ,861.9,Kogi ,450
1036,"Rice,imported high quality sold loose",Apr-23,April,2023,781.5,2.14,27.64,Rivers ,1106.06,Plateau ,626.45
1037,Sweet potato,Apr-23,April,2023,286.26,2.84,25.7,Akwa Ibom ,453.78,Benue ,165.27
1038,Tilapia fish (epiya) fresh,Apr-23,April,2023,1276.12,-0.3,8.43,Edo ,2341.67,Bauchi ,470.85
1039,Titus:frozen,Apr-23,April,2023,1796.46,0.83,15.58,Rivers ,2792.82,Kwara ,1090
1040,Tomato,Apr-23,April,2023,485.1,3.97,13.73,Edo ,950.62,Kogi ,205.26
1041,"Vegetable oil:1 bottle,specify bottle",Apr-23,April,2023,1239.58,1.55,26.34,Abia ,1694.74,Kogi ,735.33
1042,Wheat flour: prepacked (golden penny 2kg),Apr-23,April,2023,1295.17,1.56,23.62,Rivers ,1600,Kogi ,986.67
1043,Yam tuber,Apr-23,April,2023,444.69,0.38,23.12,Akwa Ibom ,920.15,Benue ,200.37
1001,Agric eggs medium size,May-23,May,2023,933.38,1.96,35.35,Enugu ,1193.85,Kogi ,620
1002,Agric eggs(medium size price of one),May-23,May,2023,89.17,1.13,35.83,Imo ,105.04,Niger ,74.91
1003,"Beans brown,sold loose",May-23,May,2023,629.75,2.29,17.29,Ebonyi ,965.91,Niger ,452.42
1004,Beans:white black eye. sold loose,May-23,May,2023,599.74,2.62,14.3,Ebonyi ,880,Benue ,428.2
1005,Beef Bone in,May-23,May,2023,1914.92,1.47,25.75,Ogun ,2383.35,Osun ,1588.1
1006,"Beef,boneless",May-23,May,2023,2520.52,1,24.19,Imo ,3475.04,Kogi ,1790.14
1007,Bread sliced 500g,May-23,May,2023,596.11,3.24,30.5,Edo ,840,Plateau ,375.25
1008,Bread unsliced 500g,May-23,May,2023,550.65,2.73,30.6,Delta ,843.75,Akwa Ibom ,310
1009,Broken Rice (Ofada),May-23,May,2023,612.05,1.74,18.84,Lagos ,948.92,Benue ,430
1010,Catfish (obokun) fresh,May-23,May,2023,1610.63,1.35,15.9,Enugu ,3195.45,Kogi ,876.67
1011,Catfish :dried,May-23,May,2023,2424.73,1.88,14.39,Imo ,4633.56,Taraba ,1609.09
1012,Catfish Smoked,May-23,May,2023,1963.22,1.34,11.26,Ogun ,2500,Kaduna ,1485.67
1013,Chicken Feet,May-23,May,2023,1133.87,1.67,21.03,Enugu ,2189,Taraba ,397.13
1014,Chicken Wings,May-23,May,2023,1462.35,2.35,15.06,Delta ,2716.67,Taraba ,593.03
1015,Dried Fish Sardine,May-23,May,2023,2026.13,2.16,15.59,Anambra ,3505,Ondo ,1325
1016,Evaporated tinned milk carnation 170g,May-23,May,2023,317.51,2.87,43.54,Oyo ,440,Plateau ,220
1017,"Evaporated tinned milk(peak), 170g",May-23,May,2023,384.19,1.42,48.59,Anambra ,473.33,Adamawa ,322.35
1018,Frozen chicken,May-23,May,2023,2889.99,1.29,19.64,Enugu ,5087.5,Taraba ,1906.49
1019,"Gari white,sold loose",May-23,May,2023,371.42,2.46,13.64,Enugu ,499.58,Kwara ,268.55
1020,"Gari yellow,sold loose",May-23,May,2023,401.59,0.45,16.51,Imo ,535.48,Kwara ,285.48
1021,"Groundnut oil: 1 bottle, specify bottle",May-23,May,2023,1330.35,0.98,27.81,Ebonyi ,2202.34,Kogi ,773.33
1022,Iced Sardine,May-23,May,2023,1693.09,1.41,24.54,Imo ,2893.65,Zamfara ,1290
1023,Irish potato,May-23,May,2023,585.1,3.14,27.18,Lagos ,1253.04,Kogi ,240.74
1024,Mackerel : frozen,May-23,May,2023,1696.22,2.18,18.54,Ebonyi ,2788.59,Benue ,1083.33
1025,Maize grain white sold loose,May-23,May,2023,350.82,1.2,11.46,Rivers ,551.76,Kano ,255.48
1026,Maize grain yellow sold loose,May-23,May,2023,359.52,2.88,15.04,Bayelsa ,610.74,Kebbi ,244.51
1027,Mudfish (aro) fresh,May-23,May,2023,1482.21,1.09,13.12,Edo ,2300,Kwara ,850.67
1028,Mudfish : dried,May-23,May,2023,2300.9,0.57,12.26,Abia ,4072.73,Kebbi ,1525
1029,Onion bulb,May-23,May,2023,453.86,2.83,17.12,Cross River ,960.82,Katsina ,334.21
1030,"Palm oil: 1 bottle,specify bottle",May-23,May,2023,1109.17,0.18,30.89,Zamfara ,1297.67,Kwara ,780.19
1031,Plantain(ripe),May-23,May,2023,425.79,3.25,34.81,Imo ,750.2,Taraba ,220
1032,Plantain(unripe),May-23,May,2023,386.74,3.71,32.44,Rivers ,610.14,Taraba ,225
1033,Rice agric sold loose,May-23,May,2023,640.36,1.4,26.26,Rivers ,1016.55,Kebbi ,433.94
1034,Rice local sold loose,May-23,May,2023,555.18,1.54,24.06,Ondo ,724.81,Jigawa ,369.09
1035,Rice Medium Grained,May-23,May,2023,615.32,0.94,23.81,Bayelsa ,889.88,Kogi ,470
1036,"Rice,imported high quality sold loose",May-23,May,2023,793.01,1.47,27.98,Rivers ,1134.3,Plateau ,600.08
1037,Sweet potato,May-23,May,2023,297.35,3.87,26.7,Akwa Ibom ,498.4,Benue ,180.72
1038,Tilapia fish (epiya) fresh,May-23,May,2023,1303.98,2.18,10.25,Edo ,2325,Bauchi ,489.78
1039,Titus:frozen,May-23,May,2023,1819.26,1.27,15.75,Rivers ,2692.95,Kwara ,1100.71
1040,Tomato,May-23,May,2023,498.34,2.73,17.68,Edo ,957.95,Kogi ,215.43
1041,"Vegetable oil:1 bottle,specify bottle",May-23,May,2023,1263,1.89,26.78,Abia ,1702,Kogi ,750.89
1042,Wheat flour: prepacked (golden penny 2kg),May-23,May,2023,1315.31,1.56,24.06,Rivers ,1627.27,Kogi ,998.57
1043,Yam tuber,May-23,May,2023,457.25,2.83,22.84,Akwa Ibom ,924.17,Benue ,214.79
1001,Agric eggs medium size,Jun-23,June,2023,986.81,5.72,40.13,Enugu ,1234.23,Kogi ,770.15
1002,Agric eggs(medium size price of one),Jun-23,June,2023,91.46,2.57,33.4,Imo ,108.38,Kwara ,75.03
1003,"Beans brown,sold loose",Jun-23,June,2023,651.12,3.39,18.08,Imo ,1000,Katsina ,480.28
1004,Beans:white black eye. sold loose,Jun-23,June,2023,622.79,3.84,16.16,Imo ,920.45,Katsina ,439.84
1005,Beef Bone in,Jun-23,June,2023,2055.18,7.32,31.74,Edo ,2703.9,Kogi ,1514.43
1006,"Beef,boneless",Jun-23,June,2023,2653.02,5.26,27.55,Imo ,3480.35,Kogi ,1806.25
1007,Bread sliced 500g,Jun-23,June,2023,634.16,6.38,34.22,Delta ,812.5,Taraba ,449.39
1008,Bread unsliced 500g,Jun-23,June,2023,593.56,7.79,36.61,Delta ,887.5,Akwa Ibom ,345
1009,Broken Rice (Ofada),Jun-23,June,2023,642.81,5.03,21.81,Ogun ,1086.08,Benue ,495.06
1010,Catfish (obokun) fresh,Jun-23,June,2023,1694.85,5.23,19.87,Enugu ,3207,Kogi ,904.56
1011,Catfish :dried,Jun-23,June,2023,2491.26,2.74,15.52,Ebonyi ,4725.93,Jigawa ,1665
1012,Catfish Smoked,Jun-23,June,2023,2049.64,4.4,14.99,Edo ,2891,Kaduna ,1523.12
1013,Chicken Feet,Jun-23,June,2023,1201.34,5.95,23.65,Enugu ,2210.19,Taraba ,401
1014,Chicken Wings,Jun-23,June,2023,1547.04,5.79,19.7,Delta ,2980,Taraba ,631.02
1015,Dried Fish Sardine,Jun-23,June,2023,2129.13,5.08,19.7,Anambra ,3575,Ondo ,1355.06
1016,Evaporated tinned milk carnation 170g,Jun-23,June,2023,363.83,14.59,60.69,Oyo ,450,Abia ,259.9
1017,"Evaporated tinned milk(peak), 170g",Jun-23,June,2023,444.93,15.81,66.79,Enugu ,502.08,Abuja ,381.67
1018,Frozen chicken,Jun-23,June,2023,3063.37,6,24.83,Enugu ,5090,Taraba ,1945.08
1019,"Gari white,sold loose",Jun-23,June,2023,403.15,8.54,21.24,Abia ,509.03,Kwara ,303
1020,"Gari yellow,sold loose",Jun-23,June,2023,429.11,6.85,21.24,Imo ,567.72,Kwara ,310
1021,"Groundnut oil: 1 bottle, specify bottle",Jun-23,June,2023,1387.64,4.31,30.55,Ebonyi ,2222.22,Benue ,859.75
1022,Iced Sardine,Jun-23,June,2023,1760.76,4,26.22,Imo ,2906,Zamfara ,1287.5
1023,Irish potato,Jun-23,June,2023,623.75,6.61,31.65,Lagos ,1269.14,Yobe ,298.09
1024,Mackerel : frozen,Jun-23,June,2023,1767.02,4.17,21.04,Ebonyi ,2800,Benue ,1288.53
1025,Maize grain white sold loose,Jun-23,June,2023,378.71,7.95,16.77,Rivers ,552.17,Katsina ,250.04
