ID,Commodity,Month/Year,Month,Year,Average Price,Month-on-Month,Year-on-Year,Lowest State,Lowest Price,Highest State,Highest Price
1004,Beans:white black eye. sold loose,Feb-24,February,2024,1156.82,25.55,100.51,Kebbi ,1535,Yobe ,762.67
1005,Beef Bone in,Feb-24,February,2024,3115.01,7.48,70.83,Kwara ,4896,Kebbi ,2350
1006,"Beef,boneless",Feb-24,February,2024,3654.56,10.22,49.41,Abia ,4595.69,Kogi ,2680.03
1007,Bread sliced 500g,Feb-24,February,2024,1047.86,15.91,89.48,Rivers ,1562.5,Borno ,655.53
1008,Bread unsliced 500g,Feb-24,February,2024,996.55,15.17,93.51,Delta ,1504.17,Borno ,584.39
1009,Broken Rice (Ofada),Feb-24,February,2024,1338.97,20.91,134.61,Abuja ,2501.14,Sokoto ,824.29
1010,Catfish (obokun) fresh,Feb-24,February,2024,2758.38,10.45,78.17,Niger ,4091.33,Gombe ,1597.5
1011,Catfish :dried,Feb-24,February,2024,3841.66,8.49,65.16,Ebonyi ,6013.12,Katsina ,2530
1012,Catfish Smoked,Feb-24,February,2024,3267.36,6.12,72.16,Imo ,4168.69,Kogi ,2496.83
1013,Chicken Feet,Feb-24,February,2024,2313.5,12.74,112.5,Abuja ,4502.95,Taraba ,750
1014,Chicken Wings,Feb-24,February,2024,2751.9,9.78,97.59,Abuja ,4554.43,Plateau ,1500.23
1015,Dried Fish Sardine,Feb-24,February,2024,3278.53,7.96,70.67,Nassarawa ,6000,Oyo ,1950.62
1016,Evaporated tinned milk carnation 170g,Feb-24,February,2024,565.64,8.92,91.26,Adamawa ,725,Jigawa ,480
1017,"Evaporated tinned milk(peak), 170g",Feb-24,February,2024,636,10.46,77.45,Akwa_Ibom ,775.58,Ondo ,530
1018,Frozen chicken,Feb-24,February,2024,4370.78,9.06,57.42,Enugu ,6913.75,Borno ,2999.94
1019,"Gari white,sold loose",Feb-24,February,2024,723.45,20.44,109.16,Ogun ,821.48,Benue ,480.32
1020,"Gari yellow,sold loose",Feb-24,February,2024,753.56,20.72,97.85,Ogun ,943.6,Nassarawa ,540.18
1021,"Groundnut oil: 1 bottle, specify bottle",Feb-24,February,2024,2008.99,6.81,58.08,Ebonyi ,2726.6,Kogi ,1250.13
1022,Iced Sardine,Feb-24,February,2024,2605.69,8.54,61.4,Abia ,3693.52,Zamfara ,1565
1023,Irish potato,Feb-24,February,2024,1130.63,7.5,104.99,Akwa_Ibom ,1950,Yobe ,467.7
1024,Mackerel : frozen,Feb-24,February,2024,2711.77,10.33,67.92,Imo ,3917.58,Kwara ,1890.48
1025,Maize grain white sold loose,Feb-24,February,2024,729.45,15.07,115.73,Enugu ,1008.35,Zamfara ,538.45
1026,Maize grain yellow sold loose,Feb-24,February,2024,724.22,12.92,111.18,Anambra ,1004.57,Zamfara ,492.59
1027,Mudfish (aro) fresh,Feb-24,February,2024,2651.6,11.39,85.15,Edo ,3575,Borno ,1383.32
1028,Mudfish : dried,Feb-24,February,2024,3668.28,7.51,63.37,Abia ,5724.24,Plateau ,2100.29
1029,Onion bulb,Feb-24,February,2024,915.61,3.91,103.44,Akwa_Ibom ,1391.41,Zamfara ,446.67
1030,"Palm oil: 1 bottle,specify bottle",Feb-24,February,2024,1561.46,7.19,46.46,Osun ,2272.52,Akwa_Ibom ,1119.44
1031,Plantain(ripe),Feb-24,February,2024,846.5,4.42,118.93,Delta ,1351.04,Borno ,420.24
1032,Plantain(unripe),Feb-24,February,2024,858.99,5.79,141.37,Delta ,1417.28,Yobe ,410.25
1033,Rice agric sold loose,Feb-24,February,2024,1274.72,17.29,111.72,Niger ,1973.43,Borno ,886.41
1034,Rice local sold loose,Feb-24,February,2024,1222.97,19.69,134.81,Niger ,1670.96,Borno ,936.14
1035,Rice Medium Grained,Feb-24,February,2024,1361.48,20.18,132.91,Niger ,1698.07,Kano ,1086.21
1036,"Rice,imported high quality sold loose",Feb-24,February,2024,1549.5,17.21,107.72,Abuja ,2021.52,Borno ,825.26
1037,Sweet potato,Feb-24,February,2024,672.83,9.32,141.14,Bayelsa ,1286.94,Jigawa ,279.72
1038,Tilapia fish (epiya) fresh,Feb-24,February,2024,2445.26,10.42,92.26,Ebonyi ,3781.21,Gombe ,807.4
1039,Titus:frozen,Feb-24,February,2024,2883.07,9.68,65.28,Abia ,3983.3,Cross_River ,2197.06
1040,Tomato,Feb-24,February,2024,937.85,10.95,100.36,Akwa_Ibom ,1548.61,Katsina ,500
1041,"Vegetable oil:1 bottle,specify bottle",Feb-24,February,2024,1878.81,5.39,57,Oyo ,2432.67,Kogi ,1360.01
1042,Wheat flour: prepacked (golden penny 2kg),Feb-24,February,2024,2277.59,11.48,82.58,Kebbi ,3100,Borno ,1237.96
1043,Yam tuber,Feb-24,February,2024,1009.56,11.93,131.33,Bayelsa ,1452.95,Borno ,626.59
1001,Agric eggs medium size,Mar-24,March,2024,1621.1,9.04,81.83,Plateau ,2000.08,Gombe ,1326.81
1002,Agric eggs(medium size price of one),Mar-24,March,2024,147.92,6.21,67.67,Kaduna ,169.25,Borno ,119.48
1003,"Beans brown,sold loose",Mar-24,March,2024,1234.4,4.79,106.78,Ondo ,1596.68,Sokoto ,745.5
1004,Beans:white black eye. sold loose,Mar-24,March,2024,1192.22,3.06,106.91,Ebonyi ,1533.1,Kano ,752.74
1005,Beef Bone in,Mar-24,March,2024,3530.42,13.34,90.2,Delta ,5225,Enugu ,2586.73
1006,"Beef,boneless",Mar-24,March,2024,4309.16,17.91,73.78,Kwara ,5500,Benue ,3400.22
1007,Bread sliced 500g,Mar-24,March,2024,1109.15,5.85,97.63,Rivers ,1683.33,Yobe ,679.94
1008,Bread unsliced 500g,Mar-24,March,2024,1054.67,5.83,103.55,Edo ,1553.57,Yobe ,613.64
1009,Broken Rice (Ofada),Mar-24,March,2024,1525.75,13.95,160.83,Ogun ,2919.19,Zamfara ,935.37
1010,Catfish (obokun) fresh,Mar-24,March,2024,3043.44,10.33,94.3,Lagos ,4241.84,Plateau ,2000.95
